"pid","value","year","land","living","beds","address","buildings","good","style","model","grade","baths","halfbaths","heatfuel","heattype","ac","nghd","stories","saleprice","saledate","roof","bath_style","kitchen_style","long","lat","miles_to_coastline","miles_to_highway","miles_to_school","miles_to_hospital"
"1",247400,1988,0.51,2194,3,"66 SUNNY MEADOW RD Branford, CT",1,87,"Split-Level","Residential","B -",2,1,"Oil","Hot Water","Central","0070",1.5,342000,"08/30/2010","Asphalt","Modern","Above Average",-72.8506018561124,41.2767829994864,0.650054742110426,0.00204184085676387,0.930245174338771,0.0315004791129097
"100",177200,1900,1.3,1200,3,"516 LEETES ISLAND RD Branford, CT",1,78,"Old Style","Residential","C",1,1,"Oil","Hot Water","None","0080",2,0,"10/30/2009","Asphalt","Average","Average",-72.7492106072146,41.2747740011881,0.484863829419524,0.000701229685081476,2.66426648629724,1.44276458476218
"10000",243600,1948,1,2473,4,"30 NEWTON RD Branford, CT",1,78,"Cape Cod","Residential","B -",3,0,"Gas","Hot Water","None","0072",1.75,0,"12/28/1992","Asphalt","Average","Average",-72.8010457611011,41.2649445402373,0.251770365001903,0.0350288679490754,1.08884781668393,0.339638071507122
"10001",206100,1966,0.26,1503,3,"29 MARSHALL RD Branford, CT",1,75,"Cape Cod","Residential","B -",2,0,"Oil","Hot Water","Central","0078",1.5,350000,"11/06/2020","Asphalt","Modern","Above Average",-72.7996652967358,41.2706060978513,0.41165312593081,0.0607908920290323,0.82929844743753,0.726268658297442
"10003",189200,1967,0.27,1708,3,"33 MARSHALL RD Branford, CT",1,75,"Raised Ranch","Residential","C",2,1,"Oil","Hot Water","Central","0078",1,0,"10/13/1989","Asphalt","Average","Average",-72.7995660859103,41.2704754837204,0.421623226880679,0.0710992079860538,0.839292266624355,0.720141484909835
"10008",195600,1992,4.31,1291,2,"17 MARSHALL PL Branford, CT",1,80,"Raised Ranch","Residential","C",1,0,"Oil","Forced Air-Duc","Central","0078",1,264000,"07/23/2018","Asphalt","Average","Average",-72.7994662608287,41.2700959981517,0.443830829760496,0.0850672853579232,0.861468717192028,0.698324934161175
"10009",272500,1964,1.05,2442,4,"21 MARSHALL RD Branford, CT",1,80,"Split-Level","Residential","B -",3,0,"Oil","Hot Water","Central","0078",1,525000,"07/01/2021","Asphalt","Average","Average",-72.799859739754,41.2708699471294,0.391807431107551,0.0401562362552965,0.809364883565735,0.738773191489162
"10011",228900,1986,0.39,2288,4,"29 NEWTON RD Branford, CT",1,80,"Colonial","Residential","C +",2,0,"Gas","Hot Water","Central","0072",2,375000,"04/28/2021","Asphalt","Average","Average",-72.8000589686893,41.2649096350321,0.253821317123199,0.0788553083795864,1.11818861231894,0.358462741721723
"10012",242700,1925,1.9,1692,3,"35 NEWTON RD Branford, CT",1,78,"Colonial","Residential","C +",1,1,"Gas","Hot Water","None","0072",2,0,"07/21/2016","Asphalt","Average","Average",-72.8002018223963,41.264888206976,0.251074359013016,0.0715696912837788,1.11537714733372,0.35406671398692
"10015",122500,1930,0.05,1021,2,"13 CREEK CT Branford, CT",1,72,"Bungalow","Residential","C -",1,1,"Gas","Hot Water","None","0100",1.5,0,"05/28/1982","Asphalt",NA,"Below Average",-72.7974498189554,41.2616040082164,0.121220275698154,0.00324792333654529,1.3835100484148,0.205496757018617
"10017",173500,1935,0.15,1080,2,"18 WAVERLY PARK RD Branford, CT",1,72,"Old Style","Residential","C",2,0,"Gas","Hot Water","Central","0100",1.75,292800,"04/01/2008","Asphalt","Average","Average",-72.7971495507037,41.2618079930122,0.12885318421888,0.0163401544375418,1.38027487252789,0.22476608108474
"10018",145100,1944,0.08,967,2,"14 WAVERLY PARK RD Branford, CT",1,72,"Bungalow","Residential","C -",1,0,"Gas","Forced Air-Duc","None","0100",1,0,"09/05/2003","Asphalt","Average","Average",-72.7971839167383,41.2616931076416,0.122061918105804,0.00852261235082856,1.38590234138182,0.216785118271132
"10019",143100,1935,0.07,872,1,"10 WAVERLY PARK RD Branford, CT",1,85,"Bungalow","Residential","C",0,0,"Gas","Forced Air-Duc","None","0100",1,0,"10/26/2015","Asphalt","Average","Average",-72.7972166668534,41.261578201822,0.115239448754993,0.000698336223564281,1.39160165254113,0.208837300767864
"10020",131400,1920,0.07,758,2,"6 WAVERLY PARK RD Branford, CT",1,72,"Bungalow","Residential","C -",1,0,"Gas","Forced Air-Duc","Central","0100",1,0,"09/11/1996","Asphalt","Average","Average",-72.7972936950013,41.2613218996618,0.100095195011569,0.00917554960749842,1.40428811458722,0.191024590226765
"10021",221900,1942,0.29,1948,3,"32 WAVERLY RD Branford, CT",1,78,"Cape Cod","Residential","C +",1,0,"Gas","Hot Water","None","0100",1.25,380000,"03/04/2004","Asphalt","Average","Average",-72.7979085988521,41.2612691726926,0.108339702182723,0.0183548526662952,1.39041852277867,0.174593460029571
"10022",197700,1945,0.08,1770,3,"40 WAVERLY RD Branford, CT",1,78,"Colonial","Residential","C",2,0,"Gas","Forced Air-Duc","Central","0100",2,212000,"09/27/2000","Asphalt","Average","Above Average",-72.7979610657058,41.2613366018254,0.113721522116657,0.0135272207691208,1.38502329821712,0.177729725747459
"10023",192800,1940,0.08,1176,3,"42 WAVERLY RD Branford, CT",1,85,"Colonial","Residential","C",2,0,"Gas","Hot Water","Heat Pump","0100",2,51900,"03/16/1984","Asphalt","Average","Average",-72.797976546539,41.2613520826586,0.115036976841947,0.0124075416565281,1.3836914863681,0.178376564873393
"10026",296500,1957,1.2,2908,4,"40 SUNSET HILL DR Branford, CT",1,78,"Colonial","Residential","B -",3,0,"Gas","Forced Air-Duc","Central","0080",2,5e+05,"07/18/2016","Asphalt","Average","Average",-72.7798801997111,41.2808461576166,0.862534025629767,0.00125262748745815,1.02870059258963,1.79396664548151
"10027",176700,1920,0.14,1099,2,"25 WAVERLY RD Branford, CT",1,78,"Old Style","Residential","C",1,0,"Gas","Forced Air-Duc","Central","0100",1.5,0,"04/04/1991","Asphalt","Average","Average",-72.7974550270793,41.2609242564954,0.0773062919652368,0.00493056162795897,1.4230587406306,0.162497451515994
"10028",179500,1930,0.14,1202,2,"21 WAVERLY RD Branford, CT",1,72,"Old Style","Residential","C",1,1,"Gas","Forced Air-Duc","None","0100",1.5,360000,"07/01/2021","Asphalt",NA,"Below Average",-72.7972819860398,41.2607918105533,0.0656103454388853,0.00713076449932335,1.43557237604278,0.157828666475491
"10029",123800,1930,0.06,660,2,"17A WAVERLY RD Branford, CT",1,72,"Bungalow","Residential","C -",1,0,"Gas","Forced Air-Duc","Central","0100",1,0,"01/07/2019","Asphalt","Average","Average",-72.797198927521,41.2607302188992,0.0600923535270461,0.0128612289220859,1.44146470362835,0.15571271306163
"10030",158000,1920,0.06,1096,4,"17 WAVERLY RD Branford, CT",1,85,"Old Style","Residential","C",1,0,"Gas","Hot Water","None","0100",2,265000,"06/17/2019","Asphalt","Average","Average",-72.7971418232249,41.2606908515435,0.056491170206517,0.0167125129053794,1.44534214432253,0.154445857442252
"10031",170700,1920,0.07,1240,3,"9 WAVERLY RD Branford, CT",1,78,"Old Style","Residential","C +",1,0,"Gas","Hot Water","None","0100",2,0,"08/03/1987","Asphalt","Average","Average",-72.7968563017441,41.2604940147651,0.0384850958043772,0.0251819979633456,1.46474151819349,0.148111628068637
"10032",196600,1920,0.08,1400,3,"5 WAVERLY RD Branford, CT",1,78,"Old Style","Residential","C +",2,0,"Gas","Forced Air-Duc","Central","0100",2,425000,"03/20/2020","Asphalt","Average","Average",-72.7967135410037,41.2603955963759,0.0294821052413569,0.0157305695809034,1.47444864176499,0.144944543820525
"10033",352300,1915,0.08,1716,3,"36 LIMEWOOD AVE Branford, CT",1,78,"Colonial","Residential","C +",2,0,"Gas","Forced Air-Duc","Heat Pump","0100",2,0,"08/18/1998","Asphalt","Average","Average",-72.7967178886539,41.2601463767246,0.0134513369394698,0.000509532062629077,1.48890700921858,0.129127660257866
"10034",324100,1935,0.08,1232,2,"32 LIMEWOOD AVE Branford, CT",1,78,"Old Style","Residential","C +",1,0,"Gas","Forced Air-Duc","Central","0100",2,0,"09/03/2015","Asphalt","Average","Average",-72.796867170785,41.2600822969441,0.0120701362014904,0.000124278893599881,1.48858614757732,0.121903107114894
"10035",309700,1962,1.21,2543,4,"36 SUNSET HILL DR Branford, CT",1,80,"Colonial","Residential","B",3,0,"Oil","Forced Air-Duc","Central","0080",2,540000,"11/24/2020","Asphalt","Modern","Above Average",-72.7800253653384,41.2811335263074,0.880754790818755,0.0198462970956634,1.0130072859924,1.80900214310558
"10036",336400,1920,0.08,1524,3,"28 LIMEWOOD AVE Branford, CT",1,78,"Colonial","Residential","C +",2,0,"Gas","Forced Air-Duc","None","0100",2,0,"06/10/1997","Asphalt","Average","Average",-72.7970165319196,41.2600182850293,0.0106944669163623,0.000222588465432913,1.48831280277121,0.114681158086078
"10037",446600,1946,0.31,2751,5,"22 LIMEWOOD AVE Branford, CT",1,72,"Colonial","Residential","B",3,0,"Gas","Hot Water","None","0100",2,6e+05,"08/02/2011","Asphalt","Average","Average",-72.7972405736214,41.2599222671571,0.0111763028383081,0.000302676486307665,1.48800347296029,0.103848245674351
"10038",205200,1915,0.14,1700,4,"26 WILFORD RD Branford, CT",1,72,"Old Style","Residential","C +",1,0,"Gas","Hot Water","None","0100",2,0,"01/02/1998","Asphalt","Average","Average",-72.799262655519,41.261045098745,0.0906706509570343,0.00427235948534545,1.36860969667227,0.131599667029718
"10039",209000,1910,0.14,1536,3,"22 WILFORD RD Branford, CT",1,72,"Old Style","Residential","C +",1,1,"Oil","Steam","Heat Pump","0100",2,259900,"05/23/2000","Asphalt","Average","Average",-72.7993849352656,41.2610551594856,0.0842898007853832,0.00118672212814173,1.36496954623343,0.129628617742314
"10040",266800,1935,0.29,2715,3,"18 WILFORD RD Branford, CT",1,85,"Bungalow","Residential","B -",2,0,"Gas","Hydro Air","Central","0100",1.25,335000,"10/13/2011","Asphalt","Modern","Above Average",-72.7994804497275,41.260998558323,0.0803306594225016,0.00734646034605242,1.36606496762891,0.124021937412587
